signal,signal_strength,combo_size,combo,pass_rate,mean_score,packet_received_rate,classified_rate,route_rate,cascade_rate,avg_missing,avg_distractors,structural_survival,avg_structural_repairs,avg_functional_repairs,worst_task_rate
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+GAIN_CLAMP,0.8833,0.8873,0.8056,0.7583,0.0,0.0,0.0444,0.5528,0.866,0.3861,0.0028,0.8
kv_packet,0.64,10,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8833,0.8831,0.7444,0.7667,0.0,0.0028,0.0417,0.5167,0.7267,0.6861,0.0111,0.7778
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8806,0.8826,0.7278,0.8,0.0,0.0,0.05,0.5472,0.8678,0.5694,0.0139,0.8444
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+SUPPRESSION+COMPRESSION+GAIN_CLAMP,0.875,0.8862,0.7778,0.775,0.0,0.0056,0.0444,0.5333,0.8375,0.0,0.0,0.8222
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+CHECKSUM+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.875,0.8815,0.7556,0.7944,0.0,0.0,0.0639,0.5611,0.8247,0.0,0.0,0.8222
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8722,0.882,0.7361,0.8222,0.0,0.0,0.0528,0.6,0.805,0.0,0.0,0.8222
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8722,0.878,0.7417,0.8167,0.0,0.0028,0.0639,0.6139,0.8382,0.0,0.0,0.7778
lora_candidate,0.78,11,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8694,0.8858,0.7417,0.8111,0.0,0.0,0.0611,0.5111,0.8624,0.7139,0.0417,0.7778
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+STATE_BUFFER+GAIN_CLAMP,0.8667,0.864,0.725,0.7917,0.0,0.0028,0.0333,0.8222,0.8535,0.3444,0.0139,0.8
lora_candidate,0.78,11,FRAME+CLOCK+CARRIER+ROUTER+PARITY+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8639,0.907,0.7889,0.9167,0.65,0.0028,0.1889,0.2083,0.8487,0.5667,0.0583,0.8
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8639,0.8869,0.7528,0.8167,0.0,0.0028,0.0528,0.5472,0.8444,0.4917,0.0167,0.8
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER,0.8639,0.8698,0.7056,0.7806,0.0,0.0083,0.0306,0.6722,0.8288,0.3278,0.0111,0.7778
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER,0.8639,0.8687,0.7556,0.75,0.0,0.0,0.0472,0.7,0.8404,0.5778,0.0111,0.7778
lora_candidate,0.78,11,FRAME+CLOCK+CARRIER+ROUTER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8639,0.8999,0.7806,0.8833,0.6083,0.0056,0.2,0.1833,0.8449,0.475,0.0667,0.7333
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER,0.8611,0.8729,0.7472,0.7889,0.0,0.0111,0.05,0.65,0.8392,0.3639,0.0194,0.8222
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+ROUTER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8611,0.9002,0.7389,0.8889,0.6889,0.0028,0.2028,0.1639,0.8506,0.4,0.0583,0.8
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+GAIN_CLAMP,0.8611,0.8855,0.7861,0.7556,0.0,0.0,0.0528,0.5056,0.8842,0.7222,0.0306,0.7778
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER,0.8611,0.8735,0.7889,0.7556,0.0,0.0111,0.0361,0.6917,0.8157,0.3639,0.0056,0.7778
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+ROUTER+PARITY+CHECKSUM+ECC+REDUNDANCY+STATE_BUFFER+GAIN_CLAMP,0.8611,0.8919,0.7417,0.8694,0.7,0.0,0.1556,0.4778,0.8633,0.5694,0.0639,0.7556
lora_candidate,0.78,9,FRAME+CLOCK+PARITY+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8611,0.8786,0.6889,0.7917,0.0,0.0083,0.0361,0.5139,0.8182,0.4889,0.0222,0.7556
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+SUPPRESSION+GAIN_CLAMP,0.8611,0.8732,0.7833,0.7111,0.0,0.0139,0.0472,0.5389,0.8656,0.3056,0.0056,0.7556
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8583,0.8839,0.7361,0.8111,0.0,0.0028,0.0472,0.5667,0.871,0.4083,0.0083,0.8
lora_candidate,0.78,7,FRAME+CLOCK+CARRIER+PARITY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8583,0.8724,0.7583,0.7639,0.0,0.0139,0.0417,0.6333,0.7048,0.0,0.0,0.8
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8556,0.8799,0.7639,0.8056,0.0,0.0028,0.075,0.5667,0.8465,0.0,0.0,0.8222
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8556,0.8837,0.75,0.8194,0.0,0.0083,0.0667,0.5222,0.8542,0.4333,0.0083,0.8
kv_packet,0.64,7,FRAME+CLOCK+CARRIER+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8556,0.8778,0.7583,0.7611,0.0,0.0056,0.0611,0.5306,0.8171,0.0,0.0,0.8
lora_candidate,0.78,7,FRAME+CLOCK+CARRIER+ECC+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8556,0.8727,0.7306,0.775,0.0,0.0111,0.0611,0.5528,0.7226,0.0,0.0,0.7556
kv_packet,0.64,9,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8556,0.8728,0.7139,0.7667,0.0,0.0028,0.0611,0.5333,0.8485,0.4389,0.0194,0.7333
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+SUPPRESSION+COMPRESSION+GAIN_CLAMP,0.8528,0.8733,0.7639,0.7222,0.0,0.0083,0.0361,0.5889,0.7694,0.6778,0.0167,0.8
lora_candidate,0.78,12,FRAME+CLOCK+CARRIER+ROUTER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8528,0.9085,0.7556,0.8972,0.6639,0.0028,0.1556,0.1917,0.8498,0.7972,0.0917,0.7556
lora_candidate,0.78,10,FRAME+CLOCK+CARRIER+ROUTER+CHECKSUM+ECC+REDUNDANCY+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8528,0.8898,0.7833,0.8972,0.6444,0.0028,0.2028,0.4528,0.8619,0.4361,0.0444,0.7556
kv_packet,0.64,9,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8528,0.8779,0.7389,0.7694,0.0,0.0,0.0611,0.5278,0.7935,0.0,0.0,0.7556
rag_like,0.48,9,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8528,0.8769,0.7167,0.7528,0.0,0.0028,0.0583,0.4667,0.8213,0.4333,0.0056,0.7333
lora_candidate,0.78,7,FRAME+CLOCK+CARRIER+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER,0.8528,0.8744,0.7556,0.8389,0.0,0.0111,0.0583,0.7194,0.8135,0.0,0.0,0.7333
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8528,0.8771,0.7361,0.8,0.0,0.0139,0.0667,0.5278,0.809,0.0,0.0,0.7111
kv_packet,0.64,11,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.85,0.8771,0.7083,0.7833,0.0,0.0,0.0528,0.5333,0.8351,0.6222,0.0139,0.8
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+GAIN_CLAMP,0.85,0.8762,0.7806,0.7389,0.0,0.0194,0.0472,0.525,0.7965,0.0,0.0,0.8
kv_packet,0.64,10,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.85,0.8809,0.7444,0.7778,0.0,0.0,0.0583,0.5278,0.8381,0.5694,0.0139,0.7778
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.85,0.8786,0.7667,0.8056,0.0,0.0083,0.0667,0.6028,0.8185,0.0,0.0,0.7778
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER,0.85,0.8774,0.75,0.8056,0.0,0.0028,0.0583,0.6361,0.7954,0.0,0.0,0.7778
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+ECC+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.85,0.8678,0.6917,0.7806,0.0,0.0083,0.0528,0.5917,0.7462,0.3917,0.0028,0.7778
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.85,0.8806,0.7444,0.8,0.0,0.0028,0.0528,0.5722,0.8198,0.0,0.0,0.7556
rag_like,0.48,11,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.85,0.8737,0.6972,0.7361,0.0,0.0,0.0639,0.4333,0.8222,0.6833,0.0083,0.7333
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+STATE_BUFFER+GAIN_CLAMP,0.85,0.8718,0.775,0.8306,0.0,0.0,0.0556,0.8333,0.8701,0.3028,0.0194,0.7333
kv_packet,0.64,9,FRAME+CLOCK+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.85,0.8651,0.6333,0.7667,0.0,0.0028,0.0528,0.5083,0.7855,0.4444,0.0028,0.7333
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+PARITY+CHECKSUM+ECC+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.85,0.8746,0.7361,0.7917,0.0,0.0,0.0583,0.6222,0.7728,0.6389,0.0139,0.7111
lora_candidate,0.78,10,FRAME+CARRIER+PARITY+CHECKSUM+ECC+REDUNDANCY+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8472,0.8644,0.6611,0.7472,0.0,0.0,0.0361,0.5972,0.7914,0.6361,0.0056,0.8
lora_candidate,0.78,8,FRAME+CLOCK+CARRIER+PARITY+ECC+REDUNDANCY+COMPRESSION+STATE_BUFFER,0.8472,0.8552,0.7333,0.8222,0.0,0.0167,0.0361,0.9528,0.8372,0.4194,0.0083,0.8
kv_packet,0.64,8,FRAME+CLOCK+CARRIER+PARITY+REDUNDANCY+SUPPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8472,0.8826,0.7639,0.7778,0.0,0.0028,0.0667,0.4972,0.8069,0.0,0.0,0.7778
lora_candidate,0.78,9,FRAME+CLOCK+CARRIER+CHECKSUM+ECC+SUPPRESSION+COMPRESSION+STATE_BUFFER+GAIN_CLAMP,0.8472,0.8759,0.7222,0.7917,0.0,0.0056,0.0417,0.6139,0.7404,0.5139,0.0056,0.7778
